"","Region","Site","Year","Zone","Taxon","ID","IDsite","x","Points"
"1","GBR","1. North Reef","1995","1-7m","Astreopora","1995.1. North Reef.1-7m","1. North Reef.1-7m",0.54,1
"2","GBR","1. North Reef","1995","1-7m","Bushy Acropora","1995.1. North Reef.1-7m","1. North Reef.1-7m",2.76,1
"3","GBR","1. North Reef","1995","1-7m","Digitate Acropora","1995.1. North Reef.1-7m","1. North Reef.1-7m",2.74,1
"4","GBR","1. North Reef","1995","1-7m","Diploastrea","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"5","GBR","1. North Reef","1995","1-7m","Echinopora","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"6","GBR","1. North Reef","1995","1-7m","Fungiidae","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"7","GBR","1. North Reef","1995","1-7m","Galaxea","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"8","GBR","1. North Reef","1995","1-7m","Goniastrea","1995.1. North Reef.1-7m","1. North Reef.1-7m",1,1
"9","GBR","1. North Reef","1995","1-7m","Goniopora","1995.1. North Reef.1-7m","1. North Reef.1-7m",0.24,1
"10","GBR","1. North Reef","1995","1-7m","Hydnophora","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"11","GBR","1. North Reef","1995","1-7m","Isopora","1995.1. North Reef.1-7m","1. North Reef.1-7m",0.54,1
"12","GBR","1. North Reef","1995","1-7m","Massive Porites","1995.1. North Reef.1-7m","1. North Reef.1-7m",0.5,1
"13","GBR","1. North Reef","1995","1-7m","Merulina","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"14","GBR","1. North Reef","1995","1-7m","Montipora","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"15","GBR","1. North Reef","1995","1-7m","Mussidae","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"16","GBR","1. North Reef","1995","1-7m","Other Agariciidae","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"17","GBR","1. North Reef","1995","1-7m","Other Faviidae","1995.1. North Reef.1-7m","1. North Reef.1-7m",1,1
"18","GBR","1. North Reef","1995","1-7m","Other Pocillopora","1995.1. North Reef.1-7m","1. North Reef.1-7m",1.8,1
"19","GBR","1. North Reef","1995","1-7m","Pavona","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"20","GBR","1. North Reef","1995","1-7m","Pectiniidae","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"21","GBR","1. North Reef","1995","1-7m","Pocillopora damicornis","1995.1. North Reef.1-7m","1. North Reef.1-7m",2.5,1
"22","GBR","1. North Reef","1995","1-7m","Psammocora","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"23","GBR","1. North Reef","1995","1-7m","Scolymia","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"24","GBR","1. North Reef","1995","1-7m","Seriatopora","1995.1. North Reef.1-7m","1. North Reef.1-7m",0.08,1
"25","GBR","1. North Reef","1995","1-7m","Staghorn Acropora","1995.1. North Reef.1-7m","1. North Reef.1-7m",3.7,1
"26","GBR","1. North Reef","1995","1-7m","Stylophora","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"27","GBR","1. North Reef","1995","1-7m","Tabular Acropora","1995.1. North Reef.1-7m","1. North Reef.1-7m",12.88,1
"28","GBR","1. North Reef","1995","1-7m","Turbinaria","1995.1. North Reef.1-7m","1. North Reef.1-7m",0,1
"57","GBR","1. North Reef","2002","1-7m","Astreopora","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"58","GBR","1. North Reef","2002","1-7m","Bushy Acropora","2002.1. North Reef.1-7m","1. North Reef.1-7m",1.6,2
"59","GBR","1. North Reef","2002","1-7m","Digitate Acropora","2002.1. North Reef.1-7m","1. North Reef.1-7m",1.8,2
"60","GBR","1. North Reef","2002","1-7m","Diploastrea","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"61","GBR","1. North Reef","2002","1-7m","Echinopora","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"62","GBR","1. North Reef","2002","1-7m","Fungiidae","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"63","GBR","1. North Reef","2002","1-7m","Galaxea","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"64","GBR","1. North Reef","2002","1-7m","Goniastrea","2002.1. North Reef.1-7m","1. North Reef.1-7m",1.4,2
"65","GBR","1. North Reef","2002","1-7m","Goniopora","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"66","GBR","1. North Reef","2002","1-7m","Hydnophora","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"67","GBR","1. North Reef","2002","1-7m","Isopora","2002.1. North Reef.1-7m","1. North Reef.1-7m",1.4,2
"68","GBR","1. North Reef","2002","1-7m","Massive Porites","2002.1. North Reef.1-7m","1. North Reef.1-7m",1.2,2
"69","GBR","1. North Reef","2002","1-7m","Merulina","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"70","GBR","1. North Reef","2002","1-7m","Montipora","2002.1. North Reef.1-7m","1. North Reef.1-7m",2.8,2
"71","GBR","1. North Reef","2002","1-7m","Mussidae","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"72","GBR","1. North Reef","2002","1-7m","Other Agariciidae","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"73","GBR","1. North Reef","2002","1-7m","Other Faviidae","2002.1. North Reef.1-7m","1. North Reef.1-7m",2,2
"74","GBR","1. North Reef","2002","1-7m","Other Pocillopora","2002.1. North Reef.1-7m","1. North Reef.1-7m",0.8,2
"75","GBR","1. North Reef","2002","1-7m","Pavona","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"76","GBR","1. North Reef","2002","1-7m","Pectiniidae","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"77","GBR","1. North Reef","2002","1-7m","Pocillopora damicornis","2002.1. North Reef.1-7m","1. North Reef.1-7m",1.4,2
"78","GBR","1. North Reef","2002","1-7m","Psammocora","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"79","GBR","1. North Reef","2002","1-7m","Scolymia","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"80","GBR","1. North Reef","2002","1-7m","Seriatopora","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"81","GBR","1. North Reef","2002","1-7m","Staghorn Acropora","2002.1. North Reef.1-7m","1. North Reef.1-7m",0.4,2
"82","GBR","1. North Reef","2002","1-7m","Stylophora","2002.1. North Reef.1-7m","1. North Reef.1-7m",0.6,2
"83","GBR","1. North Reef","2002","1-7m","Tabular Acropora","2002.1. North Reef.1-7m","1. North Reef.1-7m",2.6,2
"84","GBR","1. North Reef","2002","1-7m","Turbinaria","2002.1. North Reef.1-7m","1. North Reef.1-7m",0,2
"113","GBR","1. North Reef","2011","1-7m","Astreopora","2011.1. North Reef.1-7m","1. North Reef.1-7m",0.2,3
"114","GBR","1. North Reef","2011","1-7m","Bushy Acropora","2011.1. North Reef.1-7m","1. North Reef.1-7m",1.8,3
"115","GBR","1. North Reef","2011","1-7m","Digitate Acropora","2011.1. North Reef.1-7m","1. North Reef.1-7m",6,3
"116","GBR","1. North Reef","2011","1-7m","Diploastrea","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"117","GBR","1. North Reef","2011","1-7m","Echinopora","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"118","GBR","1. North Reef","2011","1-7m","Fungiidae","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"119","GBR","1. North Reef","2011","1-7m","Galaxea","2011.1. North Reef.1-7m","1. North Reef.1-7m",0.2,3
"120","GBR","1. North Reef","2011","1-7m","Goniastrea","2011.1. North Reef.1-7m","1. North Reef.1-7m",3.8,3
"121","GBR","1. North Reef","2011","1-7m","Goniopora","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"122","GBR","1. North Reef","2011","1-7m","Hydnophora","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"123","GBR","1. North Reef","2011","1-7m","Isopora","2011.1. North Reef.1-7m","1. North Reef.1-7m",1,3
"124","GBR","1. North Reef","2011","1-7m","Massive Porites","2011.1. North Reef.1-7m","1. North Reef.1-7m",1.8,3
"125","GBR","1. North Reef","2011","1-7m","Merulina","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"126","GBR","1. North Reef","2011","1-7m","Montipora","2011.1. North Reef.1-7m","1. North Reef.1-7m",8.4,3
"127","GBR","1. North Reef","2011","1-7m","Mussidae","2011.1. North Reef.1-7m","1. North Reef.1-7m",0.6,3
"128","GBR","1. North Reef","2011","1-7m","Other Agariciidae","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"129","GBR","1. North Reef","2011","1-7m","Other Faviidae","2011.1. North Reef.1-7m","1. North Reef.1-7m",1.2,3
"130","GBR","1. North Reef","2011","1-7m","Other Pocillopora","2011.1. North Reef.1-7m","1. North Reef.1-7m",0.4,3
"131","GBR","1. North Reef","2011","1-7m","Pavona","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"132","GBR","1. North Reef","2011","1-7m","Pectiniidae","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"133","GBR","1. North Reef","2011","1-7m","Pocillopora damicornis","2011.1. North Reef.1-7m","1. North Reef.1-7m",1.2,3
"134","GBR","1. North Reef","2011","1-7m","Psammocora","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"135","GBR","1. North Reef","2011","1-7m","Scolymia","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"136","GBR","1. North Reef","2011","1-7m","Seriatopora","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"137","GBR","1. North Reef","2011","1-7m","Staghorn Acropora","2011.1. North Reef.1-7m","1. North Reef.1-7m",2.4,3
"138","GBR","1. North Reef","2011","1-7m","Stylophora","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"139","GBR","1. North Reef","2011","1-7m","Tabular Acropora","2011.1. North Reef.1-7m","1. North Reef.1-7m",2.6,3
"140","GBR","1. North Reef","2011","1-7m","Turbinaria","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"169","GBR","1. North Reef","1995","15-30m","Astreopora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"170","GBR","1. North Reef","1995","15-30m","Bushy Acropora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0.8,1
"171","GBR","1. North Reef","1995","15-30m","Digitate Acropora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0.48,1
"172","GBR","1. North Reef","1995","15-30m","Diploastrea","1995.1. North Reef.15-30m","1. North Reef.15-30m",1,1
"173","GBR","1. North Reef","1995","15-30m","Echinopora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0.2,1
"174","GBR","1. North Reef","1995","15-30m","Fungiidae","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"175","GBR","1. North Reef","1995","15-30m","Galaxea","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"176","GBR","1. North Reef","1995","15-30m","Goniastrea","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"177","GBR","1. North Reef","1995","15-30m","Goniopora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"178","GBR","1. North Reef","1995","15-30m","Hydnophora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"179","GBR","1. North Reef","1995","15-30m","Isopora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"180","GBR","1. North Reef","1995","15-30m","Massive Porites","1995.1. North Reef.15-30m","1. North Reef.15-30m",3.5,1
"181","GBR","1. North Reef","1995","15-30m","Merulina","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"182","GBR","1. North Reef","1995","15-30m","Montipora","1995.1. North Reef.15-30m","1. North Reef.15-30m",1,1
"183","GBR","1. North Reef","1995","15-30m","Mussidae","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"184","GBR","1. North Reef","1995","15-30m","Other Agariciidae","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"185","GBR","1. North Reef","1995","15-30m","Other Faviidae","1995.1. North Reef.15-30m","1. North Reef.15-30m",2.96,1
