"","Region","Site","Year","Zone","ID","IDsite","Points","x"
"1","GBR","1. North Reef","1999","1-7m","1999.1. North Reef.1-7m","1. North Reef.1-7m",0,26.29
"2","GBR","1. North Reef","2009","1-7m","2009.1. North Reef.1-7m","1. North Reef.1-7m",0,31.2
"3","GBR","1. North Reef","2017","1-7m","2017.1. North Reef.1-7m","1. North Reef.1-7m",0,4.6
"4","GBR","1. North Reef","1999","15-30m","1999.1. North Reef.15-30m","1. North Reef.15-30m",0,9.23
"5","GBR","1. North Reef","2009","15-30m","2009.1. North Reef.15-30m","1. North Reef.15-30m",0,11.2
"6","GBR","1. North Reef","2017","15-30m","2017.1. North Reef.15-30m","1. North Reef.15-30m",0,3.6
"7","GBR","1. North Reef","1999","7-15m","1999.1. North Reef.7-15m","1. North Reef.7-15m",0,15.9
"8","GBR","1. North Reef","2009","7-15m","2009.1. North Reef.7-15m","1. North Reef.7-15m",0,22.4
"9","GBR","1. North Reef","2017","7-15m","2017.1. North Reef.7-15m","1. North Reef.7-15m",0,11
"10","Jamaica","Rio Bueno","1978","1-7m","1978.Rio Bueno.1-7m","Rio Bueno.1-7m",0,60.93
"11","Jamaica","Rio Bueno","1979","1-7m","1979.Rio Bueno.1-7m","Rio Bueno.1-7m",0,51.6
"12","Jamaica","Rio Bueno","1980","1-7m","1980.Rio Bueno.1-7m","Rio Bueno.1-7m",0,60.43
"13","Jamaica","Rio Bueno","1981","1-7m","1981.Rio Bueno.1-7m","Rio Bueno.1-7m",0,20.08
"14","Jamaica","Rio Bueno","1982","1-7m","1982.Rio Bueno.1-7m","Rio Bueno.1-7m",0,20.8
"15","Jamaica","Rio Bueno","1983","1-7m","1983.Rio Bueno.1-7m","Rio Bueno.1-7m",0,21.54
"16","Jamaica","Rio Bueno","1984","1-7m","1984.Rio Bueno.1-7m","Rio Bueno.1-7m",0,22.64
"17","Jamaica","Rio Bueno","1985","1-7m","1985.Rio Bueno.1-7m","Rio Bueno.1-7m",0,16.91
"18","Jamaica","Rio Bueno","1986","1-7m","1986.Rio Bueno.1-7m","Rio Bueno.1-7m",0,7.94
"19","Jamaica","Rio Bueno","1987","1-7m","1987.Rio Bueno.1-7m","Rio Bueno.1-7m",0,7.57
"20","Jamaica","Rio Bueno","1988","1-7m","1988.Rio Bueno.1-7m","Rio Bueno.1-7m",0,7.57
"21","Jamaica","Rio Bueno","1989","1-7m","1989.Rio Bueno.1-7m","Rio Bueno.1-7m",0,6.02
"22","Jamaica","Rio Bueno","1990","1-7m","1990.Rio Bueno.1-7m","Rio Bueno.1-7m",0,6.57
"23","Jamaica","Rio Bueno","1980","15-30m","1980.Rio Bueno.15-30m","Rio Bueno.15-30m",0,43.14
"24","Jamaica","Rio Bueno","1981","15-30m","1981.Rio Bueno.15-30m","Rio Bueno.15-30m",0,26.65
"25","Jamaica","Rio Bueno","1982","15-30m","1982.Rio Bueno.15-30m","Rio Bueno.15-30m",0,27.88
"26","Jamaica","Rio Bueno","1983","15-30m","1983.Rio Bueno.15-30m","Rio Bueno.15-30m",0,29.22
"27","Jamaica","Rio Bueno","1984","15-30m","1984.Rio Bueno.15-30m","Rio Bueno.15-30m",0,27.1
"28","Jamaica","Rio Bueno","1985","15-30m","1985.Rio Bueno.15-30m","Rio Bueno.15-30m",0,26.95
"29","Jamaica","Rio Bueno","1986","15-30m","1986.Rio Bueno.15-30m","Rio Bueno.15-30m",0,26.5
"30","Jamaica","Rio Bueno","1987","15-30m","1987.Rio Bueno.15-30m","Rio Bueno.15-30m",0,15.53
"31","Jamaica","Rio Bueno","1988","15-30m","1988.Rio Bueno.15-30m","Rio Bueno.15-30m",0,5.16
"32","Jamaica","Rio Bueno","1989","15-30m","1989.Rio Bueno.15-30m","Rio Bueno.15-30m",0,8.1
"33","Jamaica","Rio Bueno","1990","15-30m","1990.Rio Bueno.15-30m","Rio Bueno.15-30m",0,6.16
"34","Jamaica","Rio Bueno","1978","7-15m","1978.Rio Bueno.7-15m","Rio Bueno.7-15m",0,59.435
"35","Jamaica","Rio Bueno","1979","7-15m","1979.Rio Bueno.7-15m","Rio Bueno.7-15m",0,54.895
"36","Jamaica","Rio Bueno","1980","7-15m","1980.Rio Bueno.7-15m","Rio Bueno.7-15m",0,74.09
"37","Jamaica","Rio Bueno","1981","7-15m","1981.Rio Bueno.7-15m","Rio Bueno.7-15m",0,36.63
"38","Jamaica","Rio Bueno","1982","7-15m","1982.Rio Bueno.7-15m","Rio Bueno.7-15m",0,39.29
"39","Jamaica","Rio Bueno","1983","7-15m","1983.Rio Bueno.7-15m","Rio Bueno.7-15m",0,42.67
"40","Jamaica","Rio Bueno","1984","7-15m","1984.Rio Bueno.7-15m","Rio Bueno.7-15m",0,38.19
"41","Jamaica","Rio Bueno","1985","7-15m","1985.Rio Bueno.7-15m","Rio Bueno.7-15m",0,32.29
"42","Jamaica","Rio Bueno","1986","7-15m","1986.Rio Bueno.7-15m","Rio Bueno.7-15m",0,22.41
"43","Jamaica","Rio Bueno","1987","7-15m","1987.Rio Bueno.7-15m","Rio Bueno.7-15m",0,23.29
