Order,Taxa,Genus,BouchonID,ID,Zone,Year,Cover
1,Psammocora contigua,Psammocora,5,flat_1979,Outer Flat,1979,0
2,Psammocora haimeana,Psammocora,5,flat_1979,Outer Flat,1979,0.3
3,Psammocora nierstrassi,Psammocora,5,flat_1979,Outer Flat,1979,0.4
4,Psammocora profundacella,Psammocora,5,flat_1979,Outer Flat,1979,0
5,Stylocoeniella armata,Stylocoeniella,5,flat_1979,Outer Flat,1979,0
6,Stylocoeniella guentheri,Stylocoeniella,5,flat_1979,Outer Flat,1979,0
7,Pocillopora damicornis,Pocillopora,5,flat_1979,Outer Flat,1979,0.2
8,Pocillopora eydouxi,Pocillopora,5,flat_1979,Outer Flat,1979,0
9,Pocillopora verrucosa,Pocillopora,5,flat_1979,Outer Flat,1979,6.1
10,Acropora abrotanoides,Acropora,5,flat_1979,Outer Flat,1979,2.3
11,Acropora cerealis,Acropora,5,flat_1979,Outer Flat,1979,4.6
12,Acropora cytheriea,Acropora,5,flat_1979,Outer Flat,1979,12.5
13,Acropora humilis,Acropora,5,flat_1979,Outer Flat,1979,1.9
14,Acropora hyancinthus,Acropora,5,flat_1979,Outer Flat,1979,1.5
15,Acropora intermedia,Acropora,5,flat_1979,Outer Flat,1979,1.3
16,Acropora nobilis,Acropora,5,flat_1979,Outer Flat,1979,5.4
17,Acropora palmarae,Acropora,5,flat_1979,Outer Flat,1979,0
18,Acropora robusta,Acropora,5,flat_1979,Outer Flat,1979,0
19,Acropora tenuis,Acropora,5,flat_1979,Outer Flat,1979,0.4
20,Acropora valida,Acropora,5,flat_1979,Outer Flat,1979,0
21,Acropora variablilis,Acropora,5,flat_1979,Outer Flat,1979,2.5
22,Astreopora myriopthalma,Astreopora,5,flat_1979,Outer Flat,1979,0
24,Montipora circumvallata,Montipora,5,flat_1979,Outer Flat,1979,0
25,Montipora erythraea,Montipora,5,flat_1979,Outer Flat,1979,7.1
26,Montipora informis,Montipora,5,flat_1979,Outer Flat,1979,0
27,Montipora verrucosa,Montipora,5,flat_1979,Outer Flat,1979,2.7
28,Pavona cactus,Pavona,5,flat_1979,Outer Flat,1979,0.2
29,Pavona maldiviensis,Pavona,5,flat_1979,Outer Flat,1979,0
30,Pavona minuta,Pavona,5,flat_1979,Outer Flat,1979,0
31,Pavona varians,Pavona,5,flat_1979,Outer Flat,1979,1.3
32,Leptoseris incrustans,Leptoseris,5,flat_1979,Outer Flat,1979,0
33,Leptoseris mycetoseroides,Leptoseris,5,flat_1979,Outer Flat,1979,0
34,Gardinoseris planulata,Gardinoseris,5,flat_1979,Outer Flat,1979,0
35,Pachyseris speciosa,Pachyseris,5,flat_1979,Outer Flat,1979,0
36,Fungia concinna,Fungia,5,flat_1979,Outer Flat,1979,0.2
37,Fungia danai,Fungia,5,flat_1979,Outer Flat,1979,0
38,Fungia klunzingeri,Fungia,5,flat_1979,Outer Flat,1979,0
39,Fungia paumotensis,Fungia,5,flat_1979,Outer Flat,1979,0
40,Fungia repanda,Fungia,5,flat_1979,Outer Flat,1979,0.4
41,Fungia scutaria,Fungia,5,flat_1979,Outer Flat,1979,0
42,Herpolitha limax,Herpolitha,5,flat_1979,Outer Flat,1979,0.8
44,Sandolitha robusta,Sandolitha,5,flat_1979,Outer Flat,1979,0
45,Porites australiensis,Porites,5,flat_1979,Outer Flat,1979,7.9
46,Porites irregularis,Porites,5,flat_1979,Outer Flat,1979,4.6
47,Porites lichen,Porites,5,flat_1979,Outer Flat,1979,0
48,Porites lobata,Porites,5,flat_1979,Outer Flat,1979,10.2
49,Porites lutea,Porites,5,flat_1979,Outer Flat,1979,19
50,Porites rus,Porites,5,flat_1979,Outer Flat,1979,1.9
51,Favia stelligera,Favia,5,flat_1979,Outer Flat,1979,0
