,lab1,lab2,size,labs
Staghorn Acropora,0.5,-0.13,2,Staghorn Acropora
Bushy Acropora,0.46,0.055,2,Bushy Acropora
Digitate Acropora,0.4,0.08,1,Digitate Acropora
Tabular Acropora,0.38,0.15,2,Tabular Acropora
Psammocora,-0.4,0.13,1,Psammocora
Echinopora,-0.14,0.25,1,Echinopora
Dichocoenia,-0.44,0.065,1,Dichocoenia
Fungiidae,-0.32,0.17,2,Fungiidae
Galaxea,-0.22,0.15,1,Galaxea
Goniastrea,-0.43,-0.015,1,Goniastrea
Siderastrea,-0.44,-0.03,1,Siderastrea
Goniopora,-0.4,0.11,1,Goniopora
Hydnophora,0.05,-0.2,1,Hydnophora
Isopora,0.27,-0.22,2,Isopora
Colpophyllia,-0.42,-0.13,1,Colpophyllia
Merulina,-0.05,0.27,1,Merulina
Montipora,0.32,0.2,2,Montipora
Mussidae,-0.38,-0.155,2,Mussidae
Other Agariciidae,-0.4,0.02,1,Other Agariciidae
Other Faviidae,-0.33,-0.18,2,Other Faviidae
Astreopora,-0.41,0,1,Astreopora
Pocillopora damicornis,0.46,-0.04,1,P. damicornis
Other Pocillopora,0.48,-0.02,2,Other Pocillopora
Branching Porites,0.38,-0.2,2,Branching Porites
Massive Porites,-0.04,-0.22,2,Massive Porites
Seriatopora,0.5,0.01,1,Seriatopora
Stylophora,0.46,0.03,1,Stylophora
Mycetophyllia,-0.44,-0.08,1,Mycetophyllia
Turbinaria,0.15,0.31,2,Turbinaria
Agaricia,-0.45,-0.05,2,Agaricia
Helioseris,0.25,0.27,2,Helioseris
Isophyllia,-0.41,-0.11,1,Isophyllia
Madracis,0.48,-0.09,2,Madracis
Montastrea cavernosa,-0.2,-0.24,2,M. cavernosa
Orbicella,0.1,-0.18,2,Orbicella
Porites astreoides,-0.44,0.045,1,P. astreoides
Porites furcata,0.38,-0.17,1,P. furcata
Scolymia,-0.43,0.085,1,Scolymia
Acropora palmata,0.5,-0.155,1,A. palmata
Pavona,-0.14,0.215,1,Pavona
Stylocoeniella,-0.22,0.195,1,Stylocoeniella
Pectiniidae,0.03,0.285,1,Pectiniidae
Pachyseris,0.29,0.24,1,Pachyseris
Diploastrea,-0.26,-0.21,1,Diploastrea
