"","CS_raw","CW_raw","GR_raw","SD_raw","Morphology","CH_cat","SV_cat","IB_cat","CW_cat","GR_cat","CS_cat","SD_cat"
"Staghorn Acropora",327.173912989565,1.20249999995,92.3609648322222,1.4484999996,"branching_open",5,4,5,1,5,5,2
"Bushy Acropora",64.2857142742857,1.11304347817391,30.5700000075,1.4500000005,"corymbose",3,5,3,1,4,2,2
"Digitate Acropora",131.250000055,1.5700000001,25.3638889,1.478461539,"digitate",3,4,3,1,3,3,2
"Tabular Acropora",151.244444489333,0.923076922692308,47.2697222358333,1.396666667,"tables_or_plates",2,5,5,1,4,4,2
"Psammocora",480.7500001133,3.89166666675,15.6362903146,1.815000001,"submassive",3,1,1,2,3,5,3
"Echinopora",424.99999975,4.724999999875,NA,NA,"encrusting_long_uprights",2,3,2,3,2,5,4
"Dichocoenia",91.66666668,12.7875000026875,0.8,NA,"submassive",3,1,1,5,1,2,3
"Fungiidae",27.99999998,158,6.500000005,1.989999998,"solitary_attached",1,1,1,5,2,1,3
"Galaxea",172.77777777,5.42857143014286,NA,NA,"encrusting",1,2,1,3,1,1,2
"Goniastrea",100,6.500000005,7.572222227,1.699999999,"massive",4,1,1,3,2,2,3
"Siderastrea",65.00000001,7.64999999966667,7.699999998,NA,"massive",4,1,1,3,2,2,3
"Goniopora",103.3333334,3.40000000047059,NA,NA,"submassive",3,1,1,2,2,3,3
"Hydnophora",100,6.2200000002,40.3833333625,1.37,"massive",4,1,1,3,4,2,2
"Isopora",20.00000002,1.2000000005,NA,1.52,"columnar",5,2,5,1,3,1,2
"Colpophyllia",150,4.899999995,NA,1.61,"massive",4,1,1,3,1,3,2
"Merulina",266.6666665,6.16666666233333,22.49400001,NA,"laminar",2,4,2,3,3,4,3
"Montipora",110.000000088,1.00877192957895,30.908319248,NA,"encrusting",1,2,1,1,4,3,3
"Mussidae",214.999999992,39.875000015,NA,NA,"massive",4,1,1,5,1,4,2
"Other Agariciidae",NA,4.999999996,9.900000009,1.629999998,"submassive",3,1,1,3,2,2,2
"Other Faviidae",74.399999974,13.1833333335556,5.276923077,1.429999998,"massive",4,1,1,5,2,2,2
"Astreopora",NA,6.32222222177778,12.5958333373333,NA,"massive",4,1,1,3,2,3,3
"Pocillopora damicornis",200.0000002,1,34.80360003,1.926666668,"branching_closed",4,3,4,1,4,3,3
"Other Pocillopora",87.49999999,0.95,26.8988857126,1.6749999995,"branching_closed",4,3,4,1,3,2,3
"Branching Porites",69.999999985,1.28888888877778,41.19500003,NA,"branching_closed",4,3,4,1,3,2,1
"Massive Porites",255.357142817143,1.33333333344444,12.4147120206,1.2680991726,"massive",4,1,1,1,2,4,1
"Seriatopora",30.00000002,0.6999999995,43.96875004,2.200000001,"branching_closed",4,3,4,1,4,1,4
"Stylophora",NA,1.0500000005,21.3441923,1.703104498,"branching_closed",4,3,4,1,3,1,3
"Mycetophyllia",NA,29.624999985,NA,NA,"massive",4,1,1,5,1,3,3
"Turbinaria",274.999999825,2.7799999991,16.640000015,NA,"laminar",2,4,2,2,3,4,4
"Agaricia",34.95499996,5.499999994,2.781692311,2.03,"massive",4,1,1,3,2,1,3
"Helioseris",24.00000002,4.600000003,NA,NA,"laminar",2,4,2,2,3,2,3
"Isophyllia",5.779999994,18.2,NA,NA,"massive",4,1,1,5,1,1,3
"Madracis",14.65999999,1.5,22.00000001,NA,"branching_closed",4,3,3,2,3,1,2
"Montastrea cavernosa",147.8450001,10,9.416388885,1.600000001,"massive",4,1,1,4,2,4,2
"Orbicella",409.9350003,3.800000003,7.036234468,1.705677965,"massive",4,2,1,2,2,5,3
"Porites astreoides",32.84333333,1.600000001,3.721141305,1.535000001,"submassive",3,1,1,1,2,1,3
"Porites furcata",NA,1.9,34.60000002,1.05,"branching_closed",4,3,3,2,3,2,1
"Scolymia",10,56.50000002,NA,NA,"solitary_attached",1,1,1,5,1,1,2
"Acropora palmata",327.173912989565,1.20249999995,92.3609648322222,1.4484999996,"branching_open",5,4,5,1,5,4,2
"Pavona",480.7500001133,3.89166666675,15.6362903146,1.815000001,"submassive",3,1,1,2,3,5,3
"Stylocoeniella",172.77777777,5.42857143014286,NA,NA,"encrusting",1,2,1,3,1,1,2
"Pectiniidae",266.6666665,6.16666666233333,22.49400001,NA,"laminar",2,4,2,3,3,4,3
"Pachyseris",24.00000002,4.600000003,NA,NA,"laminar",2,4,2,2,3,2,3
"Diploastrea",147.8450001,10,9.416388885,1.600000001,"massive",4,1,1,4,2,4,2
